author,description,publishedAt,source,title,url,urlToImage,category,scraping_date
Globo,"Duas aeronaves tinham decolado do aeroporto Wycombe Air Park e se chocaram no ar no condado de Buckinghamshire, no centro do país. Polícia diz que prioridade é salvar vidas e não divulgou número de vítimas.",2017-11-17T18:45:15.446Z,globo,Choque entre avião e helicóptero causa várias vítimas na Inglaterra,https://g1.globo.com/mundo/noticia/choque-entre-aviao-e-helicoptero-causa-varias-vitimas-na-inglaterra.ghtml,https://s2.glbimg.com/WYYAfQLuJ7gt3-2Jr_soIWbCtLs=/1200x/smart/filters:cover():strip_icc()/s01.video.glbimg.com/x720/6296780.jpg,general,2017-11-17 18:28:50.285740
Globo,"Cunha e Geddel, por exemplo, pedem que investigação fique paralisada até o fim do mandato de Temer",2017-11-17T13:46:05Z,globo,Fachin vai levar ao plenário do STF recursos do ‘quadrilhão do PMDB da Câmara’,https://oglobo.globo.com/brasil/fachin-vai-levar-ao-plenario-do-stf-recursos-do-quadrilhao-do-pmdb-da-camara-22079336,https://ogimg.infoglobo.com.br/in/22079360-546-6a7/FT1086A/INFOCHPDPICT000072649824.jpg,general,2017-11-17 18:28:50.285740
Globo,Planejamento antecipou a divulgação do relatório de receitas e despesas do orçamento do 5º bimestre para comunicar desbloqueio. Valores serão liberados até o fim deste mês.,2017-11-17T18:29:20.161Z,globo,"Governo anuncia liberação de R$ 7,5 bilhões para gastos dos Ministérios",https://g1.globo.com/economia/noticia/governo-anuncia-liberacao-de-r-75-bilhoes-para-gastos-dos-ministerios.ghtml,https://s.glbimg.com/jo/g1/static/live/imagens/img_facebook.png,general,2017-11-17 18:28:50.285740
Globo,Mineradora está com as atividades paralisadas desde o rompimento de barragem em Mariana (MG). A tragédia destruiu distritos e matou 19 pessoas em 2015.,2017-11-17T17:38:25.214Z,globo,Samarco avisa a sindicatos que vai demitir 600 pessoas até dezembro,https://g1.globo.com/mg/minas-gerais/desastre-ambiental-em-mariana/noticia/samarco-avisa-a-sindicatos-que-vai-demitir-600-pessoas-ate-dezembro.ghtml,https://s2.glbimg.com/eAX31J1CCy1rdHaKhsoPZyXec8k=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2017/B/H/H3kDlCRzWeuLMmV0W03A/complexo-de-germano-samarco-2-2-.jpg,general,2017-11-17 18:28:50.285740
Globo,Lateral-direito do Bayern de Munique estaria disposto a voltar para o Brasil,2017-11-17T19:27:55.574Z,globo,Palmeiras faz proposta por Rafinha,https://globoesporte.globo.com/futebol/times/palmeiras/noticia/palmeiras-faz-proposta-por-rafinha.ghtml,https://s2.glbimg.com/WZ3-GdLZNb8RB94QGauobluUgz4=/1200x/smart/filters:cover():strip_icc()/s.glbimg.com/es/ge/f/original/2017/11/16/2017-11-04t194839z_1223367605_rc11791a28a0_rtrmadp_3_soccer-germany-dor-bay.jpg,general,2017-11-17 18:28:50.285740
Globo,"No total, 37 profissionais de diferentes nacionalidades são escolhidos para o Mundial do ano que vem",2017-11-17T19:47:57.708Z,globo,"Com Sandro Meira Ricci, Fifa define os árbitros da Copa do Mundo; veja a lista",https://globoesporte.globo.com/futebol/copa-do-mundo/noticia/com-sandro-meira-ricci-fifa-define-os-arbitros-da-copa-do-mundo-veja-a-lista.ghtml,https://s2.glbimg.com/VOXtlUyPaoGirdNBur7jIY7pL14=/1200x/smart/filters:cover():strip_icc()/s.glbimg.com/es/ge/f/original/2017/03/23/argentina_chile_socce_amar_umYSipH.jpg,general,2017-11-17 18:28:50.285740
Globo,"Roberto de Andrade diz que clube terá mais dinheiro e menos dívidas, negócio de Guilherme Arana para futebol europeu está ""adormecido"" e considera Brasileirão 2017 título mais difícil de sua gestão",2017-11-17T17:00:45.254Z,globo,"Presidente promete Corinthians mais forte em 2018: ""Quatro a cinco reforços""",https://sportv.globo.com/site/programas/selecao-sportv/noticia/presidente-promete-corinthians-mais-forte-em-2018-quatro-a-cinco-reforcos.ghtml,https://s2.glbimg.com/eusVEVi9vx874c-nIJKTG6MLCAc=/1200x/smart/filters:cover():strip_icc()/s.glbimg.com/es/ge/f/original/2017/11/17/whatsapp_image_2017-11-17_at_14.17.09.jpeg,general,2017-11-17 18:28:50.285740
"Estado de Minas, Estado de Minas","Decis�o do ministro Edson Fachin (STF), leva ao plen�rio da Corte as considera��es de Michel Temer sobre investiga��es do �Quadrilh�o do PMDB da C�mara`",2017-11-17T17:19:00+00:00,google-news-br,Plen�rio do STF vai decidir sobre desmembramento do 'quadrilh�o do PMDB',"https://www.em.com.br/app/noticia/politica/2017/11/17/interna_politica,917535/plenario-do-stf-vai-decidir-sobre-desmembramento-do-quadrilhao-do-pmd.shtml",https://imgsapp.em.com.br/app/noticia_127983242361/2017/11/17/917535/20171117160044506675o.jpg,general,2017-11-17 18:28:50.285740
O TEMPO,O presidente vai decretar uma moratória para proibir a abetura de novos cursos de medicina no Brasl pelos próximos cinco anos,2017-11-17T17:01:33+00:00,google-news-br,Temer proibirá a abertura de novos cursos de medicina no Brasil,http://www.otempo.com.br/capa/pol%C3%ADtica/temer-proibir%C3%A1-a-abertura-de-novos-cursos-de-medicina-no-brasil-1.1543704,http://www.otempo.com.br/polopoly_fs/1.1272192.1459556841!image/image.jpg_gen/derivatives/main-single-horizontal-img-article-fit_620/image.jpg,general,2017-11-17 18:28:50.285740
Maiá Menezes*,"Na contramão da história, deputados terão as contas ajustadas, ou não, em 2018",2017-11-17T19:47:10+00:00,google-news-br,Análise: Alerj sacraliza impunidade em sintonia com Congresso,https://oglobo.globo.com/brasil/analise-alerj-sacraliza-impunidade-em-sintonia-com-congresso-22080402,https://ogimg.infoglobo.com.br/in/22080408-5ee-ba3/FT1086A/Alerj.jpg,general,2017-11-17 18:28:50.285740
